conditionId,name,description,severity,treatment
1,Meningitis - fungal,,,
2,Coma - hyperosmolar nonketotic (HONK),"Diabetes mellitus, type II [non-insulin dependent type] [NIDDM type] [adult-onset type] or unspecified type with hyperosmolarity, not stated as uncontrolled",,
3,Filtering bleb failed,"Other complications affecting other specified body systems, not elsewhere classified",,
4,Cigarette smoker,Tobacco use disorder,,
5,Mediastinal adenopathy,"Other diseases of mediastinum, not elsewhere classified",,
6,Seizure - electrographic,,,
7,Edema peripheral,Edema,,
8,Cystocele,"Cystocele, midline",,
9,Hyperhidrosis,Generalized hyperhidrosis,,
10,Chorioamnionitis,,,
11,Sexual abuse,Observation following alleged rape or seduction,,
12,Histiocytosis - malignant,"Malignant histiocytosis, unspecified site, extranodal and solid organ sites",,
13,Pleuritic pain,Painful respiration,,
14,Esophageal dysphagia,Dysphagia,,
15,Glaucoma - low tension,Low tension glaucoma,,
16,Superficial phlebitis,Phlebitis and thrombophlebitis of other sites,,
17,Laceration,Accidental puncture or laceration during a procedure,,
18,Cruciate ligament tear,Sprain of cruciate ligament of knee,,
19,Erectile dysfunction,Problems with sexual function,,
20,Vision - diminished,,,
21,Sinus tenderness,Other chronic sinusitis,,
22,Vision - blurred,,,
23,Muscle rupture,,,
24,Diabetic nephropathy - juvenile controlled,"Diabetes mellitus type I [insulin dependent type] [IDDM] [juvenile type], not stated as uncontrolled, with renal manifestations",,
25,Whipple's disease,Whipple's disease,,
26,Achalasia,Achalasia and cardiospasm,,
27,Felty syndrome,Felty's syndrome,,
28,Anaphylaxis,Other anaphylactic shock,,
29,Diabetic enteropathy,Unspecified disorder of intestine,,
30,Uterine hemorrhage,,,
31,Amniocentesis,,,
32,Varicella,Varicella without mention of complication,,
33,Diarrhea,Diarrhea,,
34,Glomerulonephritis - mesangial proliferative,,,
35,Riedel's thyroiditis,,,
36,Paget's disease of bone,Osteitis deformans without mention of bone tumor,,
37,Nasal polyp,Unspecified nasal polyp,,
38,Erythrocytosis,Familial polycythemia,,
39,Alkalosis - respiratory,Alkalosis,,
40,Sturge-Weber syndrome,"Other congenital hamartoses, NEC",,
41,Ocular herpes zoster,Herpes zoster with other ophthalmic complications,,
42,Wound dehiscence,Disruption of internal operation wound,,
43,Excoriation - neurotic,Dermatitis factitia [artefacta],,
44,Mucormycosis,Zygomycosis [Phycomycosis or Mucormycosis],,
45,Renal insufficiency - chronic,Unspecified disorder resulting from impaired renal function,,
46,Renal artery stenosis,Atherosclerosis of renal artery,,
47,Menorrhagia,Excessive or frequent menstruation,,
48,Sulfhemoglobinemia,Methemoglobinemia,,
49,Gastric varices,Varices of other sites,,
50,Adenoidectomy,,,
51,Heel pain,Pain in limb,,
52,Dog bite,"Open wound(s) (multiple) of unspecified site(s), without mention of complication",,
53,Lithium toxicity,,,
54,Anal/rectal surgery,,,
55,Scleroderma,Systemic sclerosis,,
56,Spermatogenic arrest,,,
57,Flatulence,"Flatulence, eructation, and gas pain",,
58,Stab wound,"Open wound(s) (multiple) of unspecified site(s), without mention of complication",,
59,Factor X deficiency,Congenital deficiency of other clotting factors,,
60,Agoraphobia with panic attacks,,,
61,Atrophic gastritis,"Atrophic gastritis, without mention of hemorrhage",,
62,Numbness,Disturbance of skin sensation,,
63,Macular degeneration,"Macular degeneration (senile) of retina, unspecified",,
64,Tooth loss,"Acquired absence of teeth, unspecified",,
65,Cholesterolosis,Cholesterolosis of gallbladder,,
66,Bile stasis,Other specified disorders of biliary tract,,
67,Chlamydia pneumonia,Pneumonia due to Chlamydia,,
68,Conjunctival hemorrhage,,,
69,Osteoma,"Benign neoplasm of bone and articular cartilage, site unspecified",,
70,CMV retinitis,Cytomegaloviral disease,,
71,Granuloma - non-necrotizing,,,
72,Forearm fracture - open,,,
73,Beta thalassemia,,,
74,Alopecia areata,Alopecia areata,,
75,Telogen effluvium,Telogen effluvium,,
76,Colon polyp,Benign neoplasm of colon,,
77,Breast mass,Lump or mass in breast,,
78,CafÃƒÂ© au lait spot,Other dyschromia,,
79,Facial bone fracture,Other facial bones closed fracture,,
80,Hyperventilation,Hyperventilation,,
81,Adenosis - sclerosing,,,
82,Varices,Asymptomatic varicose veins,,
83,Hidradenitis,Hidradenitis,,
84,Laryngectomy,,,
85,Nephropathy - urate,"Gouty nephropathy, unspecified",,
86,Myalgia,"Mylagia and myositis, unspecified",,
87,Tongue - red,,,
88,Pharyngeal ulcer,Acute pharyngitis,,
89,Intraductal carcinoma,Other malignant neoplasm of unspecified site,,
90,Central nervous system shunt,Postsurgical presence of cerebrospinal fluid drainage device,,
91,Jaundice,"Jaundice, unspecified, not of newborn",,
92,Takayasu's arteritis,Takayasu's disease,,
93,Pityriasis alba,Other and unspecified pityriasis,,
94,Hepatic metastases,"Malignant neoplasm of liver, specified as secondary",,
95,Behavior problem,Unspecified disturbance of conduct,,
96,Esotropia,"Esotropia, unspecified",,
97,Hemoptysis,Hemoptysis,,
98,Pneumoconiosis,"Pneumoconiosis, unspecified",,
99,Akathisia,Abnormal involuntary movements,,
100,Intraventricular hemorrhage,Intracerebral hemorrhage,,
101,Hypotonia,,,
102,Hypotension,"Hypotension, unspecified",,
103,Heart disease - congenital,Other specified congenital anomalies of heart,,
104,Dysmenorrhea,Dysmenorrhea,,
105,Splenic infarction,Other diseases of spleen,,
106,Acidosis - metabolic,Acidosis,,
107,Pituitary tumor,Neoplasm of unspecified nature of endocrine glands and other parts of nervous system,,
108,Denervation,,,
109,Hemoglobin A2 - high,,,
110,Bullous pemphigoid,Pemphigoid,,
111,Coronary artery disease,"Chronic ischemic heart disease, unspecified",,
112,Hydatidiform mole - invasive,Neoplasm of uncertain behavior of placenta,,
113,Pseudoxanthoma elasticum,Other specified congenital anomalies of skin,,
114,Billroth I gastrectomy,,,
115,Liposarcoma - myxoid,"Malignant neoplasm of connective and other soft tissue, site unspecified",,
116,Vaginal bleeding,Other specified noninflammatory disorders of vagina,,
117,Asthma - mild persistent,"Asthma, unspecified type, without mention of status asthmaticus",,
118,Ectropion,"Ectropion, unspecified",,
119,Hip dislocation - congenital,"Congenital dislocation of hip, unilateral",,
120,Hip subluxation - congenital,"Congenital subluxation of hip, unilateral",,
121,Ganglioneuroblastoma,"Malignant neoplasm of connective and other soft tissue, site unspecified",,
122,Glomerulonephritis - acute,Acute glomerulonephritis with unspecified pathological lesion in kidney,,
123,Cleft lip/pal surgery,,,
124,Retinoblastoma,Malignant neoplasm of retina,,
125,Epidermal inclusion cyst,Sebaceous cyst,,
126,Familial Mediterranean fever,"Amyloidosis, unspecified",,
127,Otorrhea,Other otorrhea,,
128,Atten deficit hyperactivity disorder,Attention deficit disorder of childhood with hyperactivity,,
129,Liver transplant,,,
130,Open heart surgery,,,
131,Gastric obstruction,Other specified disorders of stomach and duodenum,,
132,Asthma - moderate persistent,"Asthma, unspecified type, without mention of status asthmaticus",,
133,Insomnia,"Insomnia, unspecified",,
134,Parapsoriasis,Parapsoriasis,,
135,Atrial septal defect,Ostium secundum type atrial septal defect,,
136,Pancreatitis - chronic,Chronic pancreatitis,,
137,Intrauterine device (IUD),Presence of intrauterine contraceptive device,,
138,Bioprosthetic heart valve,Replacement of unspecified heart valve,,
139,Erythroblastosis fetalis,,,
140,Leiomyosarcoma,"Malignant neoplasm of connective and other soft tissue, site unspecified",,
141,Brenner tumor - malignant,Malignant neoplasm of ovary,,
142,Pulmonary edema,"Acute edema of lung, unspecified",,
143,Osteoarthritis,"Osteoarthrosis, unspecified whether generalized or localized, involving unspecified site",,
144,Verruca plana,Other specified viral warts,,
145,Bromhidrosis,Other specified disorders of sweat glands,,
146,Pharyngeal exudates,Acute pharyngitis,,
147,Spontaneous abortion,"Spontaneous abortion, unspecified, without mention of complication",,
148,Lipogranuloma,Other specified disorders of skin,,
149,Hepatitis - giant cell,Perinatal jaundice due to hepatocellular damage,,
150,Laryngeal abscess,"Other diseases of larynx, not elsewhere classified",,
151,Vertebrobasilar insufficiency,Vertebral artery syndrome,,
152,Salivary duct stone,Sialolithiasis,,
153,Toe strain,Unspecified site of foot sprain,,
154,Polyuria,Polyuria,,
155,Coma,Coma,,
