facilityId,Name,Street,LGA,State,Email
1,AbiAba,,Aba North,Abia,AbiAba@phcsample.com
2,AbiAba,,Aba South,Abia,AbiAba@phcsample.com
3,AbiAro,,Arochukwu,Abia,AbiAro@phcsample.com
4,AbiBen,,Bende,Abia,AbiBen@phcsample.com
5,AbiIkw,,Ikwuano,Abia,AbiIkw@phcsample.com
6,AbiIsi,,Isiala-Ngwa North,Abia,AbiIsi@phcsample.com
7,AbiIsi,,Isiala-Ngwa South,Abia,AbiIsi@phcsample.com
8,AbiIsu,,Isuikwato,Abia,AbiIsu@phcsample.com
9,AbiObi,,Obi Nwa,Abia,AbiObi@phcsample.com
10,AbiOha,,Ohafia,Abia,AbiOha@phcsample.com
11,AbiOsi,,Osisioma,Abia,AbiOsi@phcsample.com
12,AbiNgw,,Ngwa,Abia,AbiNgw@phcsample.com
13,AbiUgw,,Ugwunagbo,Abia,AbiUgw@phcsample.com
14,AbiUkw,,Ukwa East,Abia,AbiUkw@phcsample.com
15,AbiUkw,,Ukwa West,Abia,AbiUkw@phcsample.com
16,AbiUmu,,Umuahia North,Abia,AbiUmu@phcsample.com
17,AbiUmu,,Umuahia South,Abia,AbiUmu@phcsample.com
18,AbiUmu,,Umu-Neochi,Abia,AbiUmu@phcsample.com
19,AdaDem,,Demsa,Adamawa,AdaDem@phcsample.com
20,AdaFuf,,Fufore,Adamawa,AdaFuf@phcsample.com
21,AdaGan,,Ganaye,Adamawa,AdaGan@phcsample.com
22,AdaGir,,Gireri,Adamawa,AdaGir@phcsample.com
23,AdaGom,,Gombi,Adamawa,AdaGom@phcsample.com
24,AdaGuy,,Guyuk,Adamawa,AdaGuy@phcsample.com
25,AdaHon,,Hong,Adamawa,AdaHon@phcsample.com
26,AdaJad,,Jada,Adamawa,AdaJad@phcsample.com
27,AdaLam,,Lamurde,Adamawa,AdaLam@phcsample.com
28,AdaMad,,Madagali,Adamawa,AdaMad@phcsample.com
29,AdaMai,,Maiha,Adamawa,AdaMai@phcsample.com
30,AdaMay,,Mayo-Belwa,Adamawa,AdaMay@phcsample.com
31,AdaMic,,Michika,Adamawa,AdaMic@phcsample.com
32,AdaMub,,Mubi North,Adamawa,AdaMub@phcsample.com
33,AdaMub,,Mubi South,Adamawa,AdaMub@phcsample.com
34,AdaNum,,Numan,Adamawa,AdaNum@phcsample.com
35,AdaShe,,Shelleng,Adamawa,AdaShe@phcsample.com
36,AdaSon,,Song,Adamawa,AdaSon@phcsample.com
37,AdaTou,,Toungo,Adamawa,AdaTou@phcsample.com
38,AdaYol,,Yola North,Adamawa,AdaYol@phcsample.com
39,AdaYol,,Yola South,Adamawa,AdaYol@phcsample.com
40,AnaAgu,,Aguata,Anambra,AnaAgu@phcsample.com
41,AnaAna,,Anambra East,Anambra,AnaAna@phcsample.com
42,AnaAna,,Anambra West,Anambra,AnaAna@phcsample.com
43,AnaAna,,Anaocha,Anambra,AnaAna@phcsample.com
44,AnaAwk,,Awka North,Anambra,AnaAwk@phcsample.com
45,AnaAwk,,Awka South,Anambra,AnaAwk@phcsample.com
46,AnaAya,,Ayamelum,Anambra,AnaAya@phcsample.com
47,AnaDun,,Dunukofia,Anambra,AnaDun@phcsample.com
48,AnaEkw,,Ekwusigo,Anambra,AnaEkw@phcsample.com
49,AnaIde,,Idemili North,Anambra,AnaIde@phcsample.com
50,AnaIde,,Idemili south,Anambra,AnaIde@phcsample.com
51,AnaIhi,,Ihiala,Anambra,AnaIhi@phcsample.com
52,AnaNji,,Njikoka,Anambra,AnaNji@phcsample.com
53,AnaNne,,Nnewi North,Anambra,AnaNne@phcsample.com
54,AnaNne,,Nnewi South,Anambra,AnaNne@phcsample.com
55,AnaOgb,,Ogbaru,Anambra,AnaOgb@phcsample.com
56,AnaOni,,Onitsha North,Anambra,AnaOni@phcsample.com
57,AnaOni,,Onitsha South,Anambra,AnaOni@phcsample.com
58,AnaOru,,Orumba North,Anambra,AnaOru@phcsample.com
59,AnaOru,,Orumba South,Anambra,AnaOru@phcsample.com
60,AnaOyi,,Oyi,Anambra,AnaOyi@phcsample.com
61,AkwAba,,Abak,Akwa Ibom,AkwAba@phcsample.com
62,AkwEas,,Eastern Obolo,Akwa Ibom,AkwEas@phcsample.com
63,AkwEke,,Eket,Akwa Ibom,AkwEke@phcsample.com
64,AkwEsi,,Esit Eket,Akwa Ibom,AkwEsi@phcsample.com
65,AkwEss,,Essien Udim,Akwa Ibom,AkwEss@phcsample.com
66,AkwEti,,Etim Ekpo,Akwa Ibom,AkwEti@phcsample.com
67,AkwEti,,Etinan,Akwa Ibom,AkwEti@phcsample.com
68,AkwIbe,,Ibeno,Akwa Ibom,AkwIbe@phcsample.com
69,AkwIbe,,Ibesikpo Asutan,Akwa Ibom,AkwIbe@phcsample.com
70,AkwIbi,,Ibiono Ibom,Akwa Ibom,AkwIbi@phcsample.com
71,AkwIka,,Ika,Akwa Ibom,AkwIka@phcsample.com
72,AkwIko,,Ikono,Akwa Ibom,AkwIko@phcsample.com
73,AkwIko,,Ikot Abasi,Akwa Ibom,AkwIko@phcsample.com
74,AkwIko,,Ikot Ekpene,Akwa Ibom,AkwIko@phcsample.com
75,AkwIni,,Ini,Akwa Ibom,AkwIni@phcsample.com
76,AkwItu,,Itu,Akwa Ibom,AkwItu@phcsample.com
77,AkwMbo,,Mbo,Akwa Ibom,AkwMbo@phcsample.com
78,AkwMkp,,Mkpat Enin,Akwa Ibom,AkwMkp@phcsample.com
79,AkwNsi,,Nsit Atai,Akwa Ibom,AkwNsi@phcsample.com
80,AkwNsi,,Nsit Ibom,Akwa Ibom,AkwNsi@phcsample.com
81,AkwNsi,,Nsit Ubium,Akwa Ibom,AkwNsi@phcsample.com
82,AkwObo,,Obot Akara,Akwa Ibom,AkwObo@phcsample.com
83,AkwOko,,Okobo,Akwa Ibom,AkwOko@phcsample.com
84,AkwOnn,,Onna,Akwa Ibom,AkwOnn@phcsample.com
85,AkwOro,,Oron,Akwa Ibom,AkwOro@phcsample.com
86,AkwOru,,Oruk Anam,Akwa Ibom,AkwOru@phcsample.com
87,AkwUdu,,Udung Uko,Akwa Ibom,AkwUdu@phcsample.com
88,AkwUka,,Ukanafun,Akwa Ibom,AkwUka@phcsample.com
89,AkwUru,,Uruan,Akwa Ibom,AkwUru@phcsample.com
90,AkwUru,,Urue-Offong/Oruko ,Akwa Ibom,AkwUru@phcsample.com
91,AkwUyo,,Uyo,Akwa Ibom,AkwUyo@phcsample.com
92,BauAlk,,Alkaleri,Bauchi,BauAlk@phcsample.com
93,BauBau,,Bauchi,Bauchi,BauBau@phcsample.com
94,BauBog,,Bogoro,Bauchi,BauBog@phcsample.com
95,BauDam,,Damban,Bauchi,BauDam@phcsample.com
96,BauDar,,Darazo,Bauchi,BauDar@phcsample.com
97,BauDas,,Dass,Bauchi,BauDas@phcsample.com
